Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
223.15	1.0000	0.11002	9.0895	1951.0	2872.0	49.299	9.6869	13.815	1146.5	-0.024872	7.3098e-06	0.14584	vapor
224.03	1.0000	0.10959	9.1253	1959.5	2884.1	49.354	9.6960	13.824	1148.6	-0.025518	7.3296e-06	0.14633	vapor
224.91	1.0000	0.10916	9.1612	1968.0	2896.3	49.408	9.7050	13.833	1150.7	-0.026157	7.3493e-06	0.14683	vapor
225.79	1.0000	0.10873	9.1970	1976.6	2908.5	49.462	9.7139	13.842	1152.8	-0.026789	7.3691e-06	0.14733	vapor
226.67	1.0000	0.10831	9.2328	1985.1	2920.7	49.516	9.7227	13.851	1154.9	-0.027415	7.3888e-06	0.14782	vapor
227.55	1.0000	0.10789	9.2687	1993.7	2932.8	49.569	9.7313	13.860	1156.9	-0.028035	7.4085e-06	0.14832	vapor
228.43	1.0000	0.10747	9.3045	2002.3	2945.0	49.623	9.7399	13.868	1159.0	-0.028648	7.4281e-06	0.14881	vapor
229.31	1.0000	0.10706	9.3403	2010.8	2957.3	49.676	9.7484	13.877	1161.1	-0.029255	7.4478e-06	0.14931	vapor
230.19	1.0000	0.10665	9.3762	2019.4	2969.5	49.729	9.7568	13.885	1163.2	-0.029856	7.4674e-06	0.14980	vapor
231.07	1.0000	0.10625	9.4120	2028.0	2981.7	49.782	9.7651	13.893	1165.2	-0.030450	7.4870e-06	0.15029	vapor
231.95	1.0000	0.10584	9.4478	2036.6	2993.9	49.835	9.7733	13.901	1167.3	-0.031039	7.5065e-06	0.15078	vapor
232.83	1.0000	0.10544	9.4837	2045.2	3006.2	49.888	9.7814	13.909	1169.4	-0.031621	7.5261e-06	0.15126	vapor
233.71	1.0000	0.10505	9.5195	2053.8	3018.4	49.940	9.7894	13.917	1171.4	-0.032198	7.5456e-06	0.15175	vapor
234.59	1.0000	0.10465	9.5553	2062.5	3030.7	49.993	9.7974	13.925	1173.5	-0.032769	7.5651e-06	0.15224	vapor
235.47	1.0000	0.10426	9.5912	2071.1	3042.9	50.045	9.8052	13.933	1175.5	-0.033334	7.5845e-06	0.15273	vapor
236.35	1.0000	0.10387	9.6270	2079.7	3055.2	50.097	9.8129	13.941	1177.6	-0.033894	7.6040e-06	0.15321	vapor
237.23	1.0000	0.10349	9.6629	2088.4	3067.4	50.149	9.8206	13.948	1179.7	-0.034448	7.6234e-06	0.15370	vapor
238.11	1.0000	0.10311	9.6987	2097.0	3079.7	50.200	9.8282	13.956	1181.7	-0.034997	7.6428e-06	0.15419	vapor
238.99	1.0000	0.10273	9.7345	2105.7	3092.0	50.252	9.8357	13.963	1183.7	-0.035540	7.6621e-06	0.15468	vapor
239.87	1.0000	0.10235	9.7704	2114.3	3104.3	50.303	9.8431	13.971	1185.8	-0.036079	7.6815e-06	0.15516	vapor
240.75	1.0000	0.10198	9.8062	2123.0	3116.6	50.354	9.8504	13.978	1187.8	-0.036611	7.7008e-06	0.15564	vapor
241.63	1.0000	0.10161	9.8420	2131.7	3128.9	50.405	9.8576	13.985	1189.9	-0.037139	7.7201e-06	0.15611	vapor
242.51	1.0000	0.10124	9.8779	2140.3	3141.2	50.456	9.8648	13.992	1191.9	-0.037662	7.7394e-06	0.15658	vapor
243.39	1.0000	0.10087	9.9137	2149.0	3153.5	50.507	9.8718	13.999	1193.9	-0.038179	7.7586e-06	0.15705	vapor
244.27	1.0000	0.10051	9.9495	2157.7	3165.8	50.557	9.8788	14.006	1196.0	-0.038692	7.7779e-06	0.15752	vapor
245.15	1.0000	0.10015	9.9854	2166.4	3178.2	50.608	9.8857	14.013	1198.0	-0.039200	7.7971e-06	0.15799	vapor
246.03	1.0000	0.099789	10.021	2175.1	3190.5	50.658	9.8925	14.020	1200.0	-0.039703	7.8163e-06	0.15846	vapor
246.91	1.0000	0.099433	10.057	2183.8	3202.9	50.708	9.8993	14.027	1202.0	-0.040201	7.8354e-06	0.15893	vapor
247.79	1.0000	0.099080	10.093	2192.5	3215.2	50.758	9.9060	14.033	1204.1	-0.040695	7.8546e-06	0.15940	vapor
248.67	1.0000	0.098730	10.129	2201.3	3227.6	50.808	9.9126	14.040	1206.1	-0.041184	7.8737e-06	0.15987	vapor
249.55	1.0000	0.098381	10.165	2210.0	3239.9	50.857	9.9191	14.046	1208.1	-0.041668	7.8928e-06	0.16035	vapor
250.43	1.0000	0.098036	10.200	2218.7	3252.3	50.907	9.9255	14.053	1210.1	-0.042148	7.9119e-06	0.16081	vapor
251.31	1.0000	0.097693	10.236	2227.5	3264.6	50.956	9.9319	14.059	1212.1	-0.042623	7.9309e-06	0.16128	vapor
252.19	1.0000	0.097352	10.272	2236.2	3277.0	51.005	9.9382	14.065	1214.1	-0.043095	7.9499e-06	0.16174	vapor
253.07	1.0000	0.097013	10.308	2245.0	3289.4	51.054	9.9444	14.072	1216.1	-0.043561	7.9690e-06	0.16220	vapor
253.95	1.0000	0.096677	10.344	2253.7	3301.8	51.103	9.9505	14.078	1218.1	-0.044024	7.9879e-06	0.16266	vapor
254.83	1.0000	0.096344	10.380	2262.5	3314.2	51.152	9.9566	14.084	1220.1	-0.044482	8.0069e-06	0.16313	vapor
255.71	1.0000	0.096012	10.415	2271.2	3326.6	51.201	9.9626	14.090	1222.1	-0.044936	8.0258e-06	0.16359	vapor
256.59	1.0000	0.095683	10.451	2280.0	3339.0	51.249	9.9685	14.096	1224.1	-0.045386	8.0448e-06	0.16405	vapor
257.47	1.0000	0.095356	10.487	2288.8	3351.4	51.297	9.9744	14.101	1226.1	-0.045832	8.0637e-06	0.16451	vapor
258.35	1.0000	0.095031	10.523	2297.6	3363.8	51.345	9.9801	14.107	1228.1	-0.046274	8.0825e-06	0.16498	vapor
259.23	1.0000	0.094709	10.559	2306.4	3376.2	51.393	9.9859	14.113	1230.0	-0.046712	8.1014e-06	0.16544	vapor
260.11	1.0000	0.094389	10.594	2315.1	3388.6	51.441	9.9915	14.118	1232.0	-0.047146	8.1202e-06	0.16590	vapor
260.99	1.0000	0.094070	10.630	2323.9	3401.1	51.489	9.9971	14.124	1234.0	-0.047577	8.1391e-06	0.16636	vapor
261.87	1.0000	0.093754	10.666	2332.7	3413.5	51.536	10.003	14.130	1236.0	-0.048003	8.1578e-06	0.16681	vapor
262.75	1.0000	0.093441	10.702	2341.5	3425.9	51.584	10.008	14.135	1238.0	-0.048426	8.1766e-06	0.16727	vapor
263.63	1.0000	0.093129	10.738	2350.4	3438.4	51.631	10.013	14.140	1239.9	-0.048845	8.1954e-06	0.16772	vapor
264.51	1.0000	0.092819	10.774	2359.2	3450.8	51.678	10.019	14.146	1241.9	-0.049261	8.2141e-06	0.16817	vapor
265.39	1.0000	0.092511	10.809	2368.0	3463.3	51.725	10.024	14.151	1243.9	-0.049672	8.2328e-06	0.16863	vapor
266.27	1.0000	0.092206	10.845	2376.8	3475.7	51.772	10.029	14.156	1245.8	-0.050081	8.2515e-06	0.16908	vapor
267.15	1.0000	0.091902	10.881	2385.6	3488.2	51.819	10.034	14.161	1247.8	-0.050485	8.2702e-06	0.16954	vapor
268.03	1.0000	0.091601	10.917	2394.5	3500.6	51.865	10.039	14.166	1249.8	-0.050886	8.2888e-06	0.16999	vapor
268.91	1.0000	0.091301	10.953	2403.3	3513.1	51.912	10.044	14.171	1251.7	-0.051284	8.3074e-06	0.17045	vapor
269.79	1.0000	0.091003	10.989	2412.2	3525.6	51.958	10.049	14.176	1253.7	-0.051679	8.3261e-06	0.17090	vapor
270.67	1.0000	0.090707	11.024	2421.0	3538.1	52.004	10.054	14.181	1255.6	-0.052070	8.3446e-06	0.17135	vapor
271.55	1.0000	0.090414	11.060	2429.9	3550.5	52.050	10.059	14.186	1257.6	-0.052457	8.3632e-06	0.17178	vapor
272.43	1.0000	0.090122	11.096	2438.7	3563.0	52.096	10.064	14.190	1259.5	-0.052842	8.3818e-06	0.17222	vapor
273.31	1.0000	0.089832	11.132	2447.6	3575.5	52.142	10.069	14.195	1261.5	-0.053223	8.4003e-06	0.17266	vapor
274.19	1.0000	0.089543	11.168	2456.4	3588.0	52.188	10.073	14.200	1263.4	-0.053601	8.4188e-06	0.17310	vapor
275.07	1.0000	0.089257	11.204	2465.3	3600.5	52.233	10.078	14.204	1265.3	-0.053976	8.4373e-06	0.17353	vapor
275.95	1.0000	0.088972	11.239	2474.2	3613.0	52.278	10.082	14.209	1267.3	-0.054348	8.4558e-06	0.17397	vapor
276.83	1.0000	0.088690	11.275	2483.0	3625.5	52.324	10.087	14.213	1269.2	-0.054716	8.4742e-06	0.17441	vapor
277.71	1.0000	0.088409	11.311	2491.9	3638.0	52.369	10.091	14.218	1271.1	-0.055082	8.4926e-06	0.17485	vapor
278.59	1.0000	0.088130	11.347	2500.8	3650.5	52.414	10.096	14.222	1273.1	-0.055445	8.5110e-06	0.17529	vapor
279.47	1.0000	0.087852	11.383	2509.7	3663.1	52.459	10.100	14.226	1275.0	-0.055804	8.5294e-06	0.17572	vapor
280.35	1.0000	0.087577	11.419	2518.6	3675.6	52.503	10.104	14.230	1276.9	-0.056161	8.5478e-06	0.17616	vapor
281.23	1.0000	0.087303	11.454	2527.5	3688.1	52.548	10.108	14.235	1278.8	-0.056515	8.5662e-06	0.17660	vapor
282.11	1.0000	0.087030	11.490	2536.4	3700.6	52.593	10.112	14.239	1280.8	-0.056866	8.5845e-06	0.17704	vapor
282.99	1.0000	0.086760	11.526	2545.3	3713.2	52.637	10.117	14.243	1282.7	-0.057214	8.6028e-06	0.17748	vapor
283.87	1.0000	0.086491	11.562	2554.2	3725.7	52.681	10.121	14.247	1284.6	-0.057559	8.6211e-06	0.17792	vapor
284.75	1.0000	0.086224	11.598	2563.1	3738.2	52.725	10.125	14.251	1286.5	-0.057902	8.6394e-06	0.17835	vapor
285.63	1.0000	0.085958	11.634	2572.0	3750.8	52.769	10.128	14.255	1288.4	-0.058241	8.6576e-06	0.17879	vapor
286.51	1.0000	0.085694	11.669	2580.9	3763.3	52.813	10.132	14.259	1290.3	-0.058579	8.6759e-06	0.17923	vapor
287.39	1.0000	0.085432	11.705	2589.8	3775.9	52.857	10.136	14.262	1292.2	-0.058913	8.6941e-06	0.17967	vapor
288.27	1.0000	0.085171	11.741	2598.8	3788.4	52.900	10.140	14.266	1294.1	-0.059245	8.7123e-06	0.18011	vapor
289.15	1.0000	0.084912	11.777	2607.7	3801.0	52.944	10.144	14.270	1296.0	-0.059574	8.7305e-06	0.18055	vapor
290.03	1.0000	0.084655	11.813	2616.6	3813.5	52.987	10.147	14.274	1297.9	-0.059900	8.7486e-06	0.18099	vapor
290.91	1.0000	0.084399	11.849	2625.6	3826.1	53.030	10.151	14.277	1299.8	-0.060224	8.7668e-06	0.18141	vapor
291.79	1.0000	0.084144	11.884	2634.5	3838.7	53.074	10.155	14.281	1301.7	-0.060546	8.7849e-06	0.18183	vapor
292.67	1.0000	0.083891	11.920	2643.4	3851.2	53.117	10.158	14.284	1303.6	-0.060865	8.8030e-06	0.18225	vapor
293.55	1.0000	0.083640	11.956	2652.4	3863.8	53.160	10.162	14.288	1305.5	-0.061181	8.8211e-06	0.18267	vapor
294.43	1.0000	0.083390	11.992	2661.3	3876.4	53.202	10.165	14.291	1307.4	-0.061495	8.8392e-06	0.18309	vapor
295.31	1.0000	0.083142	12.028	2670.3	3889.0	53.245	10.168	14.295	1309.3	-0.061807	8.8572e-06	0.18352	vapor
296.19	1.0000	0.082895	12.063	2679.2	3901.5	53.287	10.172	14.298	1311.2	-0.062116	8.8753e-06	0.18394	vapor
297.07	1.0000	0.082649	12.099	2688.2	3914.1	53.330	10.175	14.301	1313.1	-0.062423	8.8933e-06	0.18436	vapor
297.95	1.0000	0.082405	12.135	2697.1	3926.7	53.372	10.178	14.304	1315.0	-0.062727	8.9113e-06	0.18478	vapor
298.83	1.0000	0.082163	12.171	2706.1	3939.3	53.414	10.182	14.308	1316.8	-0.063029	8.9292e-06	0.18520	vapor
299.71	1.0000	0.081922	12.207	2715.0	3951.9	53.456	10.185	14.311	1318.7	-0.063329	8.9472e-06	0.18563	vapor
300.59	1.0000	0.081682	12.243	2724.0	3964.5	53.498	10.188	14.314	1320.6	-0.063627	8.9652e-06	0.18605	vapor
301.47	1.0000	0.081444	12.278	2733.0	3977.1	53.540	10.191	14.317	1322.5	-0.063922	8.9831e-06	0.18647	vapor
302.35	1.0000	0.081207	12.314	2741.9	3989.7	53.582	10.194	14.320	1324.3	-0.064216	9.0010e-06	0.18689	vapor
303.23	1.0000	0.080971	12.350	2750.9	4002.3	53.624	10.197	14.323	1326.2	-0.064506	9.0189e-06	0.18731	vapor
304.11	1.0000	0.080737	12.386	2759.9	4014.9	53.665	10.200	14.326	1328.1	-0.064795	9.0368e-06	0.18774	vapor
304.99	1.0000	0.080504	12.422	2768.9	4027.5	53.707	10.203	14.329	1329.9	-0.065082	9.0546e-06	0.18816	vapor
305.87	1.0000	0.080273	12.458	2777.8	4040.1	53.748	10.206	14.332	1331.8	-0.065366	9.0725e-06	0.18858	vapor
306.75	1.0000	0.080042	12.493	2786.8	4052.7	53.789	10.209	14.335	1333.6	-0.065649	9.0903e-06	0.18900	vapor
307.63	1.0000	0.079813	12.529	2795.8	4065.3	53.830	10.211	14.337	1335.5	-0.065929	9.1081e-06	0.18943	vapor
308.51	1.0000	0.079586	12.565	2804.8	4078.0	53.871	10.214	14.340	1337.3	-0.066207	9.1259e-06	0.18985	vapor
309.39	1.0000	0.079360	12.601	2813.8	4090.6	53.912	10.217	14.343	1339.2	-0.066484	9.1436e-06	0.19027	vapor
310.27	1.0000	0.079135	12.637	2822.8	4103.2	53.953	10.220	14.345	1341.0	-0.066758	9.1614e-06	0.19069	vapor
311.15	1.0000	0.078911	12.673	2831.8	4115.8	53.993	10.222	14.348	1342.9	-0.067030	9.1791e-06	0.19109	vapor
312.03	1.0000	0.078688	12.708	2840.8	4128.5	54.034	10.225	14.351	1344.7	-0.067300	9.1969e-06	0.19150	vapor
312.91	1.0000	0.078467	12.744	2849.8	4141.1	54.074	10.227	14.353	1346.6	-0.067569	9.2146e-06	0.19190	vapor
